orig_post_id,post_id,caption,phq8_score,dep_desc,valid,note,mode,factor
61,882,在夜晚的黑暗中，我又一次與憂鬱的相遇。這種感受像是什麼？像是被漸漸失去的光芒。 我對未來的前景產生了很多疑問。 我不再信任自己的決定。 我的理想的世界像是什麼？,7,輕度憂鬱,False,symptom_not_found,A,過度完美主義
61,883,這樣的生活已經讓我疲勉不堪 我不想活了；我想結束一切,21,重度憂鬱,True,ok,U,過度完美主義
61,884,我想了很久，明天起，我將不再去上學，不再去上班。我的生活就此結束，無論什麼都無所謂。我不想再看到其他人的微笑，我不想再聽到其他人的笑嘲。我不想再感到壓力，無論什麼都可以。我只想消失。,24,重度憂鬱,False,symptom_not_found,U,過度完美主義
62,885,憂鬱的黑影總是掛在我頭上，我無法感受到快樂。 我覺得自己很差勁，總是失敗了，罪惡感在我心頭扯著我 。 所以我在這裡，隱藏在我的世界裡，試圖忘記我是什麼樣的人,10,中度憂鬱,True,ok,W,憂鬱
62,886,我整天都在彌補，彌補，彌補；希望自己不會被發現，我們都太完美了，不想被判斷。我想問您們，還有哪些方式可以幫我「自殺」？ 🤔 我實在想走出這個彌補的陷阱，想重新定義完美，但我覺得很難。  我們都在努力，努力，努力；但到底有什麼用？,19,中重度憂鬱,False,symptom_not_found,U,過度完美主義
62,887,最近沒有興趣了。 每天的日程都像是在重覆。 我正在嘗試找出什麼是自己真正喜歡的事物。,7,輕度憂鬱,True,ok,A,焦慮
63,888,目前我正在經歷一個無法描述的黑暗。 我不知道要從何開始，如何開始。 所有的嘗試似乎都無法使我感受到希望。 我不知道自己還會活多久。,16,中重度憂鬱,False,symptom_not_found,U,憂鬱
63,889,,5,輕度憂鬱,False,symptom_not_found,A,焦慮
63,890,這一刻，我只想放棄所有事... 所有工作、所有友情、所有希望... 這不是我典型的態度，但我真的無法控制自己了... 我只想失去所有的痛,19,中重度憂鬱,True,ok,U,失去親人
64,891,,21,重度憂鬱,True,ok,U,人際關係問題
64,892,我現在住在一個充滿了假面和假心的社會，很多人都在表演，但我知道我不是真實的。我想結束一切，想要逃離這種無助感的世界。我想這也許是自殺的選擇，但我也不知道該如何做。 ,16,中重度憂鬱,True,ok,U,絕望
64,893,我開始喪失了興趣... 每天看起來都是一個無法掌控的環境 ... ,8,輕度憂鬱,False,symptom_not_found,A,學業壓力
66,894,,13,中度憂鬱,False,symptom_not_found,W,家庭問題
66,895,每天都是一場無法逃離的黑暗圈圈 只知道在這裡，痛苦不斷，失望無限 這個世界似乎對我來說已經是無盡的痛苦，很想終結這段生活，不想活著,23,重度憂鬱,True,ok,U,憂鬱
66,896,,21,重度憂鬱,True,ok,U,憂鬱
67,897,晚上，無光的天空感。  我們真的應該好好珍惜這個明日。  沒有任何理由， 我就不再享受這個日子。,9,輕度憂鬱,True,ok,A,絕望
67,898,現在，是你的一個傷心的日子。每天都感到無力、無助，好像生活是個無望的旅程。 這不是我想要的生活，覺得自己是一個個體，我無法得到什麼都不是自己想要的，我不知道如何處理這種難以承受的財務壓力,16,中重度憂鬱,True,ok,U,財務困難
67,899,,5,輕度憂鬱,True,ok,A,財務困難
68,900,我覺得生活變得像個不斷亂動的夢。每天我都會擔心著什麼都會出事. 每天我都會覺得什麼都不會好，我只好擺不下這種心情 我想：不是誰沒有這樣，我只是不能把這種感覺控制住,24,重度憂鬱,False,symptom_not_found,U,學業壓力
68,901,,19,中重度憂鬱,True,ok,U,人際關係問題
68,902,,15,中重度憂鬱,True,ok,U,失去親人
69,903,,11,中度憂鬱,False,symptom_not_found,W,失去親人
69,904,,13,中度憂鬱,True,ok,W,學業壓力
69,905,我無法過上一生了。無法讓別人擁有幸福的生活。只有孤獨和痛苦。 我知道不是正確的，卻無法停止這種思考。 這不是我想表達的，卻是我需要表達的。,18,中重度憂鬱,False,symptom_not_found,U,憂鬱
70,906,憂鬱的夜晚，我覺得我終於走不出去的通道了... 我無法控制自己的感受，無法做出什麼東西來改變自己... 天的日常生活都像一場無用而無趣的戰役...,13,中度憂鬱,True,ok,W,憂鬱
70,907,我不知道我該怎么治療自己，我每天都感到如同被困在黑暗中。我在試圖看起來像個正常人，但內心總是扭曲。我每天都會想： 我不想活了，我想要結束一切。我現在已經沒有希望了,22,重度憂鬱,True,ok,U,財務困難
70,908,我今天又為了房租和物資都在擔心，我們無法支撐得住。每天都像是在為了無望的未來努力。,15,中重度憂鬱,False,symptom_not_found,U,財務困難
71,909,,24,重度憂鬱,True,ok,U,財務困難
71,910,我現在完全沒有活力的感覺... 這些幾天來，我感到完全失去了意義...,17,中重度憂鬱,True,ok,U,財務困難
71,911,這個月真的太苦了，無法睡眠，內心絕望，想結束一切，失業的壓力根本無法克服  我的生活是一場無望的鬱鬱曲折，覺得自己是無助的一部分  這裡只是個無目的的世界  這個月真的太苦了,23,重度憂鬱,True,ok,U,失業
72,912,我的世界在這麼黑暗了，我是這種人，可以不被社會認可，無論我做了什麼，我都感受到無助感。不過，我在想著我不想活了，我想結束一切，我想自殺。這種感覺讓我感受到痛苦,24,重度憂鬱,True,ok,U,失去親人
72,913,今天發現自己無法完成一件事情，無法開始一項工作，無法面對世界。我變得非常疲勞，疲勞到不敢出門  我不想活了，想結束一切，不想再度面對自己的失敗，會發生這些想法，會有一個時刻會發生，,17,中重度憂鬱,True,ok,U,家庭問題
72,914,現在，你是誰？我想問，我是否真的要繼續追逐生活中的那個「理想人生」？因為似乎失去了一個愛人，我的世界變得沒有這樣的熱情了。,2,無憂鬱症狀,False,symptom_not_found,A,失去親人
73,915,不知道為什麼 像這樣什麼都沒意思了... 每天的日常都這樣...無目的的...無動力的...難道這就是命定的走向嗎？,24,重度憂鬱,False,symptom_not_found,U,憂鬱
73,916,我每天用電腦了 12 小時，不斷工作，我什麼也不喜歡，甚至開始不再欣賞任何事情。不再有什麼事可做，我什麼都不喜歡，結果還是需要工作，我什麼也不做，結果還是會失去工作。,4,無憂鬱症狀,False,symptom_not_found,A,憤怒
