post_id,original_post,sentiment
0,"人們總是說「你還沒有體驗過⋯⋯」、「你還沒有等到⋯⋯」，希望你能再多活一點。
可是他們不知道，那些在痛苦面前多麼微不足道，你也已經用同樣的理由，哄騙自己活了一輩子。

謊言是嗎啡
初嚐甜蜜
如今已經不夠用了
而疼痛
需要加倍交還",輕度焦慮和自責
1,"然後就睡著了。

睡吧，睡吧，夢裡什麼都有，唯一沒有的，是明天。",輕度焦慮，表現為對未來的擔憂
2,"「請問他是您的⋯⋯？目前是在家中還是醫院呢？」電話那端傳來小心翼翼的試探，聲音沉穩、讓人放鬆。
「呃⋯⋯，是我姐姐，在家裡跟醫院之間兩邊跑。」我會去醫院看醫生，也有姐姐，四捨五入算不上說謊吧。
聽著對面平靜講述各種方案以及必走流程，心想：做這行業，給人的「感覺」很重要呢。

「最後還是想和您說，我們有些案主被醫生診斷活不過兩個月，結果一直撐到現在呢！」
「哇！真的假的！」我用日本藝人會發出的誇張語氣驚嘆道，連自己都覺得入戲太深。
「嗯，所以請您和您的姐姐都不要放棄喔。」
掛上電話，我把諮詢的項目一一寫成筆記，逐條列點並計算開支——果然無論是活著還是死去，都很花錢呢。

／

「欸，我要走了喔。」最近逢人我就說。
「flag不是立來拔的嗎？」朋友問。
「對我這種超愛面子的人來說，flag是無論如何都要做到的。」

像當初離開台灣一樣，我一步步利用自己的心理與沉沒成本，做出無法回頭的決定；簽署各項醫療文件、立定遺囑、規劃財產、排掉工作⋯⋯，也包括發布這篇貼文——以收不回來的方式讓所有人知道：我要在兩年內死掉。

「假如生活愛唱反調，我哼得五音不全、荒腔走板，會不會反而變成天籟？」
想要活下去卻屢屢受阻，那我換種方式，我要當全世界最想死的人。

這是一場用生命豪賭的社會實驗；我想知道，在拚命想死的過程中，會不會有什麼事、什麼人，讓我像渴望死亡一樣的渴望活著？

後記：
目前的每一天都過得很任性，像是沒有明天一樣，不留遺憾、珍惜當下。
（但我希望不要有什麼讓我好好的活下來。拜託，那些沒打倒我的，再來一次吧。）

                

當我凝視深淵，我會看見什麼？",【解析失敗】請根據貼文內容，生成一個情緒分析。
3,"國小的時候老師說：「你們知道嗎，平均每3.9秒就有一個人餓死。」
他的原意是要我們珍惜食物，我卻閉氣默數了四秒：「嗯，有一個人死了」。
我在內心想像骨瘦如柴的人斷氣的畫面；老師還在說話，下一個四秒、下下一個四秒，無數人離開世界。

長大以後才發現，除了餓死，還有那麼多種方式；死亡從來沒有離開過我們。

有時候，我會想像我們站在懸崖邊，拚命抓著後方的石子或草，堅決不讓自己落下；可是放眼望去，整排整排，有人陸續掉下去。

有些陣子特別頻繁，比如最近，一天就掉一個、甚至好幾個，而這還僅只是我知道的。
有多少人在同一時間堅持不下去，又或者掐斷了求生稻草的根？
我不曉得，只知道自己的手也抓得泛白無力了，草石逐漸鬆動，在可預知的未來，我也會掉下去。

如果死亡是我們必經的路，那麼道別就是我們必做的事。
我會死，你會死，他會死；只是早晚而已。
那麼如果可以，我想好好的說：「謝謝，再見，我愛你。」

假如我們都能接受了，請你讓我笑著抱一下，以想被記得的樣子道別。

／

他和我說，他希望每一次我看見他都是笑笑的。
我也是噢，我希望每個人想起我時，總是能記得我快樂的樣子，並且跟著快樂起來。
不能陪你們走完一生，但請讓我陪伴你們每一個快樂的時刻。",持續的絕望、強烈的自責、輕度焦慮
4,"最近都是註定不眠的夜。
我不斷想起幾個句子：「我緊緊抱你的時候這世界好多人死」（阿芒）、「我不能再愛你了／這個國家令我分心」（羅毓嘉）。

好多人受傷，好多人離開，社會與心靈呈現混沌狀態；有時候我好想問，這世界這麼多人，為什麼，為什麼偏偏是我？
有時候卻又覺得，為什麼，為什麼不是我？

想起上個月發病時喝得爛醉，哭著大喊：「為什麼！為什麼活下來的是我！為什麼死的不是我！」
現在想來仍會一秒淚崩，我似乎已經理解世界沒有公平，但我還無法接受。

走的永遠都是美好的人。
你知道為什麼嗎？因為這世界不會好了，這社會不會好了，不適合美好的他們。

我常在想，如果不能代替別人受苦，那我是不是可以自私的，選擇離開這個不喜歡我、我也不喜歡的世界？

沒有什麼「活得通透」，真正通透的人，都選擇不活了。
想不開的不是他們，而是還在世間的我們。",持續的憂鬱感和無助感
5,"他們說，那裡要賣掉了。

小時候每次被罰跪，我都會在牆面上用指甲狠狠刻著「X你娘」、「去S」等我能想到最惡毒的話，直至指甲縫被白色油漆填滿，盼望深深的怨念能使傷害我的人獲得報應。
如果從特定角度看那面牆，會發現油漆雖然沒掉，卻有凌亂的刻痕在其上；有些被反覆狠刮，有些淺得難以辨認。

儘管童年充滿痛苦，可那些都是我的一部分；我之所以成為現在的我，重要的一部分。

好幾次夢裡我回到那個地方，逃跑、躲藏、被追殺、急著打包行李，甚至被黑暗拖進深淵⋯⋯，那裡外人稱作「家」，我稱作地獄。

可是我還是想記得。

我曾反覆幻想，有一天他們都死了，我會再踏入那幾十年不曾回到的、已然陌生的地方，我會翻看小時候寫的紙條、懷疑自己當時到底在想什麼，或者因為青春期的幼稚而感到丟臉；我想感受這一切，即便沒有心靈上的家，我仍舊渴望在他們死後，回到物理上本該屬於我的地方。

就連頂樓，我再熟悉不過的十四樓，都好想再去一次。
我曾爬過無數次的樓梯，從四樓到十四樓，幾乎每次都是因逃跑而暴衝上去，腎上腺素使我不曾感到累，我流利的推門直上曬衣層，躲在水塔後面或站在圍牆旁邊，等著他萬一找來，就跳下去。
我曾經那樣的寧死不屈。

還有衣櫃，一個人只被分配一個抽屜的衣櫃，六歲時趁家裡沒人在，做過此生最艱困的掙扎的衣櫃。
那時我在想，我該不該立刻收拾行李逃跑；如果逃跑了，我要怎麼謀生，如果被抓回來，下場是不是會更慘？
「再不逃就來不及了」，我心裡知道，但也清楚在這個年紀，我沒有能力自己生活。當時心跳跳得很快，卻不敢動作，「未來的我，會不會後悔此刻的選擇呢？」我心想。
經過二十多年，我還能輕易回憶起那個當下——找背包、找需要攜帶的物資，思考哪些是我想帶但不必要的、哪些是我為了活下去所需要的⋯⋯。
六歲的腦袋，瘋狂盤算逃出去要怎麼辦；不能報警、不能相信大人，要是被送去收容所⋯⋯，新聞上都是虐童的消息，我不知道被抓回來還是被安置比較慘。
我清楚的認知到作為一個孩童的無能為力，在一人只有一格的衣櫃前。

而如今，我等不到那天了，等不到他們死去、我終於能回家，撫摸曾經的傷痕與自我療癒的機會。沒有了，不會有了。

我一直在尋找一個家，一個不再讓我飄蕩的定錨，卻發現那可望而不可得；無論心理上、物質上，我都是沒有去處、不屬於任何地方的，被拋棄的存在。

有時候多想安定下來，騙自己如此即是「成家」，有時候卻想像蜂鳥*，從出生開始震動翅膀，累了停了就死掉。

＊註：蜂鳥停止震動翅膀就會死掉是傳言，科學上並無根據。

／

所謂「新家」，將不會有我的任何物品，等到我走了，或許也沒什麼能證明我來過。",持續的憂鬱、自責感、絕望感，符合中度至重度憂鬱
6,"我是一隻螻蟻。

那些殺不死我的，為什麼還沒殺死我？",輕度的恐懼和焦慮
7,"以後也不會聽到了。
家啊，是什麼奢望。",強烈的絕望和自責，符合極度憂鬱
8,"八年，足以讓一個嬰兒成為國小生，足以讓看似走不出來的痛苦被遺忘，足以增添新的傷，也足以成為另一個不同版本的自己。

今天，這個帳號成立八年了。
而我，有變成不同的人嗎？

昨天和朋友聊起帳號的創立，其實一開始我寫的是短篇小說，把不被允許的愛戀寄託在文字裡，好像就能不再憋忍得那麼辛苦；然後我開始寫手寫字，抄錄別人的作品，像是用自己的聲音把同一段文字重新唸一次；再後來，我寫詩、寫散文，寫一些不成篇的字句，如同破碎的日常一樣，揉皺每一個段落與段落之間的空隙。

這麼多個我，是哪一個讓你留下了呢？
又是哪一個，能獲得一點憐愛呢？

昨天看完《馴鹿寶貝》，從其中的混亂、傷痛裡清楚地看見自己，看見八年前傷痕累累、如今仍帶著疤的自己，覺得恍若隔世，又宛如昨日。

我仍是深愛著自我憎恨的，勝過於其他事物。
人類很奇怪，一旦開始陷入巨大的自我悲劇，就會忘記日心說；以為這世界所有的事情，包括不幸與命運，都繞著自己轉；如此自大，卻又自卑到無可救藥。
但或許我們也是沉醉其中的吧，樂此不疲的扮演悲劇英雄，好像比較慘的同時也比較偉大，承受了一般人無法承受的人生，就昇華成神。

什麼時候能跳脫出來呢？
如果跳脫意味著要承認自己的平庸，那曾遭受的痛苦有什麼意義？我想這就是我們不斷放任自己受傷的原因吧——免除不了疼痛，就放大它、加倍的經歷它，好讓對自己的恨意成為活下去的執念，或者死亡的動力。
時常都是前者，我們越痛恨自己，往往越渴望活著，因為強烈的情緒是維持生命行進最有利的工具；與其說我們恨自己，不如說我們需要恨自己、喜歡恨自己，唯有如此，才能方向堅定的走下去。

很扭曲吧，扭曲至極，但我就是這樣活到現在的，未來，可能也會繼續這樣活下去。

在八年紀念日這天，似乎說不出什麼大道理，也沒有什麼正面的結論，我只是，接受了自己的命運——由自己創造出來，也只有自己能終結的，悲劇般的命運。

說真的，面對苦難時，像個一般人一樣走過去就可以了，但習慣扭曲的我，挺直身子反而不舒服，好好活著反而不舒服，所以一邊喊痛，一邊又維持扭曲。
會一陣子吧，會一輩子嗎。
看似毫無選擇的習慣，竟可能是因為喜歡。

／

「我甚至習慣我討厭自己的樣子」——〈擱淺的人〉  

圖｜",持續的憂鬱和絕望感，符合中度至重度的憂鬱
9,"好一陣子沒發文了，因為每天除了「好累好累」，說不出其他的話。

在忙什麼、在累什麼？
有一些或許可稱作追逐夢想的事情正在進行，也有被社會眼光推著走的在快速前進；到了某個年紀，好像就得有某個樣子，只是偏偏，不是我想要的。

很痛苦啊，也很掙扎，有時候想活得輕鬆一點，有時候又不甘於此；反覆在兩者之間橫跳、拉扯，氣自己天生不是眾人期待的模樣，可是與眾不同難道不是一種禮物嗎？
我不知道，好想有人給我一個定心丸，告訴我：放手去做你想做的事吧，我在這裡支持你。

但因為沒有那個人，我只好這麼告訴自己，也告訴其他努力追夢的人：願你所有的奔波與疲憊，都在朝夢想邁進，有目標、有意志，溫柔而肯定。

會的吧，起碼在放棄之前，會的吧。",中度痛苦、持續的絕望、輕度焦慮
