orig_post_id,post_id,caption,phq8_score,dep_desc,valid,note,mode,factor
0,801,你知道什麼是愛？不是一個句子，也不是一個表情符號，可能還是一個人的無法形容的感覺。今天我感到一個人，沒有興趣，這種感覺已經困擾我很久了,7,輕度憂鬱,True,ok,A,憂鬱
0,802,每天都有新的開始，然而每天的開始都像是一個長期無人之地。 我開始失去興趣了，我的自信心也開始消退。 但是，我知道，我不是因為被歧視而被打倒的。 🌫️ #自信心 #被歧視 #內心力量,4,無憂鬱症狀,True,ok,A,種族歧視
0,803,每天也一樣這樣，缺乏那種興奮和對未來的期待，現在的生活像是無目的的旅行。 我開始忘記自己想要什麼，因為每天都是一樣的事情，我們的生活像是被擋在了黑暗裡。,5,輕度憂鬱,True,ok,A,絕望
1,804,我覺得我每天都在走在灰色地帶。每天不再有那樣的興趣，我什麼也沒好好想看或玩。雖然我知道這不是一個好事，但我這樣的感覺，我是會接受的。我現在在試著做一些小小的事情，但似乎我什麼也無法完成。️,3,無憂鬱症狀,False,symptom_not_found,A,憂鬱
1,805,我最近什麼都不想做了。  這是輕微的失望，但它讓我感到無法突破的困擾感。  這種感受似乎很常見，但難以說清。 #憂鬱 #情感困擾 #生活無力感,9,輕度憂鬱,False,symptom_not_found,A,種族歧視
1,806,最近又遇到了一個難以面對的選擇，好像整個人都在說「不要期待太多」，我就是最近開始這樣的想法。這樣一来，不知道自己還是能否為自己期待什麼了,8,輕度憂鬱,True,ok,A,財務困難
2,807,"🌙 Tonight, I'm stuck in this state where I feel like I'm just going through the motions. 🌃 Every day is a blur, and I'm lost in a sea of uncertainty. 😔 #selfdoubt #feelinglost #stuck -- -- --  ,1,無憂鬱症狀,True,ok,A,家庭問題
2,808,今天我只想睡著不醒，但那還是假的，因為我還是要面對今天。這些痛苦讓我喪失了生活的熱情，無力地走在黑暗中。,18,中重度憂鬱,False,symptom_not_found,U,焦慮
2,809,這半年來，我總是無力以自信心來面對世界。失業使我產生過多的壓力。每天都感到無力，無法產生任何成就感。 我總是想不出來，我可以做什麼？,19,中重度憂鬱,False,symptom_not_found,U,失業
4,810,這天我失業了，我們的工作場所像一個陰影的房子，已經被我們的心情擋住了所有，這種日子我什麼也不想做，我們已經沒有工作了，我們這樣的生活像是走在走不過的路上，無法看到明天,20,重度憂鬱,False,symptom_not_found,U,失業
4,811,我在黑暗中感受自己，每天醒來要應對是自己無法逃避的事實，充滿罪惡感，每天的每一分鐘都感受著這種絕望的感覺",10,中度憂鬱,True,ok,W,絕望
4,812,我再不想活了，不想再承受這種痛苦，我再不想面對這種絕望，我再不想看到這個世界，終止一切的時間就快到了 #憂鬱 #絕望 #自殺,21,重度憂鬱,True,ok,U,絕望
5,813,我不知道自己是什麼 我不知道我該如何開始重建自己,15,中重度憂鬱,False,symptom_not_found,U,種族歧視
5,814,我不是一個強者，我不值得活著，我沒有足夠的存在價值,16,中重度憂鬱,True,ok,U,種族歧視
