fold,author,case_type,label,delta_p,field,rater1,rater2
0,iamfinety2.0,multimodal_false_positive_top10,0,0.1191260952854791,manual_image_effect,干擾,無明顯影響
0,knowmi_0.0,multimodal_false_positive_top10,0,-0.0145780839295883,manual_text_image_consistency,部分一致,一致
0,na.to.heart,multimodal_false_positive_top10,0,0.0775818857555673,manual_image_effect,無明顯影響,干擾
0,who.loved.by.jesus,multimodal_false_positive_top10;largest_abs_delta_p_top20,0,0.2923630767163371,manual_image_effect,無明顯影響,干擾
4,ksitigarbha_dizangwang,multimodal_false_positive_top10,0,0.0657017498089894,manual_image_effect,干擾,無明顯影響
3,si_je_meurs,multimodal_false_negative_top10;low_similarity_top20,1,0.0226898963010458,manual_image_extra_signal,有,無
3,si_je_meurs,multimodal_false_negative_top10;low_similarity_top20,1,0.0226898963010458,manual_image_effect,幫助,無明顯影響
3,depression_meem,multimodal_false_negative_top10,1,-0.0235974791344465,manual_image_extra_signal,不明確,有
3,m_m12150605,multimodal_false_negative_top10;low_similarity_top20,1,-0.0090776250457477,manual_image_extra_signal,無,不明確
4,fenkychen0827,multimodal_false_negative_top10;low_similarity_top20,1,0.0384979246032204,manual_image_effect,幫助,無明顯影響
0,dep_tattoos,low_similarity_top20,0,-0.0889969187974251,manual_image_effect,無明顯影響,幫助
3,zoezoeliao,low_similarity_top20;largest_abs_delta_p_top20,1,-0.1397059777879682,manual_image_extra_signal,不明確,有
2,ineichashitsu,low_similarity_top20,1,0.0595238344236976,manual_text_image_consistency,不一致,部分一致
0,914_planet,low_similarity_top20,0,0.0365213261758071,manual_text_image_consistency,不一致,部分一致
4,althealan_and_painting,low_similarity_top20,1,0.1138203992130217,manual_text_image_consistency,部分一致,一致
1,hao_emo520,largest_abs_delta_p_top20,0,-0.2820861017196835,manual_text_image_consistency,部分一致,不一致
1,hao_emo520,largest_abs_delta_p_top20,0,-0.2820861017196835,manual_image_extra_signal,不明確,有
4,shan_min33,largest_abs_delta_p_top20,1,-0.2437917627819075,manual_text_image_consistency,一致,部分一致
3,will_be._.fine,largest_abs_delta_p_top20,1,0.2185774341645071,manual_text_image_consistency,一致,部分一致
3,will_be._.fine,largest_abs_delta_p_top20,1,0.2185774341645071,manual_image_extra_signal,有,不明確
3,powxd01,largest_abs_delta_p_top20,0,-0.1584419026524716,manual_text_image_consistency,一致,部分一致
3,cancerfighter211,largest_abs_delta_p_top20,1,0.1444241264845088,manual_image_extra_signal,無,不明確
