post_id,original_sentiment,phq8_score,dep_desc,synthetic_sentiment
0,強烈的自責和絕望，符合極度憂鬱,7,輕度憂鬱,作者表現出輕微的憂鬱感，對生活的看法有所改變
0,強烈的自責和絕望，符合極度憂鬱,4,無憂鬱症狀,作者表現出自信心和積極性
0,強烈的自責和絕望，符合極度憂鬱,5,輕度憂鬱,作者表現出輕度的焦慮與不安，偶爾會有輕微的沮喪感
1,輕度自信心,3,無憂鬱症狀,作者表現出輕度的自信心
1,輕度自信心,9,輕度憂鬱,作者在日常生活中感受到輕微的失望和沮喪
1,輕度自信心,8,輕度憂鬱,作者在自我評估中表現出對未來展望的懷疑
2,輕度焦慮,1,無憂鬱症狀,作者表現出輕度的自我評價不佳
2,輕度焦慮,18,中重度憂鬱,作者感受到無力、無能為力，感到被壓抑，缺乏動力
2,輕度焦慮,19,中重度憂鬱,作者表現出深深的憂鬱和失望
4,輕度焦慮,20,重度憂鬱,作者表現出重度憂鬱的情緒，感覺無法解決問題
4,輕度焦慮,10,中度憂鬱,作者出現明顯的憂鬱情緒，表現出對生活的失望
4,輕度焦慮,21,重度憂鬱,作者感受到絕望與無助
5,中度憂鬱，伴有自責感和失望,15,中重度憂鬱,作者表現出中度的自責感和失望
5,中度憂鬱，伴有自責感和失望,16,中重度憂鬱,作者表現出中度的自責感和失望
5,中度憂鬱，伴有自責感和失望,6,輕度憂鬱,作者感受到輕微的沮喪，同時也有一定的自責感
6,持續的無助感和輕度絕望,22,重度憂鬱,作者面對重度憂鬱的困境，無法找到 escape
6,持續的無助感和輕度絕望,11,中度憂鬱,作者表現出中度憂鬱的情緒
6,持續的無助感和輕度絕望,9,輕度憂鬱,作者在此時感受到輕度的孤立感
7,強烈的自責和絕望，且有自殘，符合高度憂鬱,5,輕度憂鬱,作者感覺到輕微的不確定感，同時有著持續的自我評估
7,強烈的自責和絕望，且有自殘，符合高度憂鬱,10,中度憂鬱,作者表現出中度憂鬱，感覺到無法解決問題
7,強烈的自責和絕望，且有自殘，符合高度憂鬱,11,中度憂鬱,作者表現出輕度的焦慮與不安
8,中度絕望和無助感,4,無憂鬱症狀,作者表現出輕度的自我肯定與成就感
8,中度絕望和無助感,7,輕度憂鬱,作者感受到了一些輕微的沮喪，需要努力維持積極的態度
8,中度絕望和無助感,19,中重度憂鬱,作者表現出極度的絕望和無助感，感覺自己無法控制情緒和生活
9,輕度自責和焦慮，符合輕度焦慮,4,無憂鬱症狀,作者的情緒趨勢是輕度的悲傷
9,輕度自責和焦慮，符合輕度焦慮,23,重度憂鬱,作者感受到持久的失望和無助，情緒狀態嚴重受抑制
9,輕度自責和焦慮，符合輕度焦慮,12,中度憂鬱,作者出現明顯的憂鬱和絕望感
10,輕度焦慮、自責感,21,重度憂鬱,作者在這一段內容中表現出著重度的憂鬱感
10,輕度焦慮、自責感,2,無憂鬱症狀,作者表現出輕度的焦慮，但對自己的成就感到自豪
10,輕度焦慮、自責感,22,重度憂鬱,作者在精神上陷入了深重的絕望感，對自己的過去和未來充滿了疑慮
11,輕度焦慮和輕度自責,24,重度憂鬱,作者出現了重度憂鬱的情緒，表現出極度的自責、沮喪和絕望
