post_id,sentence_id,text,label,annotator
1141,5,「自傷」根本不是想要求關注,,U
835,0,今天又是這樣一個無聊的日子，我一直都無力完成任務，標準越來越高，但自己卻難以達到那些標準。,,A
535,16,.,,O
182,6,和一個沒有希望的未來,,D
1204,1,雖然活下來了，但其實心裡還是沒有感覺開心，反而有種說不出來的感覺，一直想著如果當天我下去了，那被救活的機率是多少？,,U
990,5,我不想活了。,,U
1030,9,我還有什麼呢，就連死亡，都比現在來得不痛。,,U
1030,2,越來越寂寞。,,D
152,1,「可以快樂過生活，不用用哀傷包裝自己。,,O
1181,0,不知道為什麼會有這樣子的想法，不斷湧現，知道這是不太好的，但我似乎阻擋不了它。,,O
454,1,如果我能消失不見那就好了,,U
841,2,因為失業導致我現在沒有任何工作前景，但我不希望失去對未來的希望。,,O
253,3,想一覺不要醒來，想離開這個世界。,,U
510,5,我根本一點也不開心⋯如果可以的話，我也好想開開心心快快樂樂的過每一天。,,A
205,6,現在的心願就是希望自己可以早日離開,,U
64,3,看見自己手上無數條的傷痕,,U
1191,1,有時覺得努力了、盡力了，還是一樣會做不好。,,W
896,2,我不想活了。,,U
681,5,真的很會照顧人耶。,,O
118,0,🕊️,,O
499,1,身體不是累的，心靈感覺卻是殘缺。,,D
1123,5,好痛苦,,D
873,2,每天都感到自責，我們都被告知是自己的錯兒，所以我也不能成功。,,W
471,0,我不需要別人理解。,,O
1052,1,每當我說我真的好痛苦，往往都會被問：「怎麼了？,,D
5,4,失去快樂很難也很簡單，,,A
535,3,我猜（只是猜測啦）憂鬱的人跟我一樣也有社恐，同時也很怕吵，很多時候只要想到要在一個很吵很吵的環境接觸到很多很多的人，我除非狀況真的很好我才會出門。,,D
1133,3,但是我真的做不到。,,W
163,9,不要再情緒內耗 放過自己,,O
1091,3,每次不是吞藥 就是刀割,,U
853,3,不管是什麼，我都能看到自己過去的生活不夠美好，無法為我帶來真正的快樂。,,
302,8,轉貼註明👉,,
165,11,嘿，希望你能開開心心。,,
803,0,每天也一樣這樣，缺乏那種興奮和對未來的期待，現在的生活像是無目的的旅行。,,
1188,0,沒體力也沒力氣的感覺又再度出現，我感到疲乏無奈，人生沒有希望也沒有目標。,,
1013,3,生活中有許多的迷惘，或許有解答，或許會更困惑，但我始終沒有辦法釐清自己作為一個生命所要傳達的意義——到底，為什麼，我會在這裡。,,
836,0,這兩天來，我每天早上醒來都沒有興趣，什麼事也不想做，每天都這樣。,,
1159,6,我真的很難過😢,,
899,2,不再享受每天的生活,,
1205,16,四人合力救上來後大家都嚇傻了，也報警，我看到好多個警察，後來上了救護車我還在哭泣。,,
581,1,不管啦不想上班😭,,
850,2,每天都會覺得無法承受這種痛苦,,
347,12,我真沒用。,,
308,1,你好 我是一位憂鬱症患者,,
163,21,身體上的累加上心理上的無力感,,
966,0,我不知道我該怎么治療自己，我每天都感到如同被困在黑暗中。,,
893,0,我最近好不容易想起來這點，但還是感覺到了一點什麼都不起來的情緒 我想了很久，現在我覺得不想活了，完全不想去工作，不能做任何事，覺得什麼都不值得    如果我真的不行，我覺得我就會被人判斷和背叛，覺得自己完全無助,,
608,3,整天要死不活的乾脆去死一死,,
858,1,失業、無方向、無力無望 ️我該如何面對自己？,,
748,2,很想死 超想 這個念頭 就是一直出來,,
862,2,不想活了。,,
525,14,💡本電影將超越娛樂的價值，帶來真實連結與恢復。,,
1099,2,我戰勝不過它 所以我只能選擇自殺,,
811,0,今天的日子很難過，對什麼事都不是很有興趣。,,
1147,8,我說服自己這是現代人的文明病，然後不斷責備自己的軟弱。,,
1025,27,對不起,,
742,6,有好玩的、有好笑的、有開心的、有難過的、有很多很多⋯。,,
242,5,我不知道為什麼好不起來，,,
828,0,不想活了；這種想法像是無法穿過一張門，硬是要面對著無情的生活。,,
545,1,"People tend to feel differently, so when we meet people who feel like us, we feel resonate😃However, it is really not easy",,
865,0,當我面臨這個黑暗的世界時，我不想活了。,,
966,3,我現在已經沒有希望了,,
940,1,我最近又遇到了那種感覺——失去興趣。,,
1035,16,只是在此之前，很想任性的求救一次。,,
712,2,孤單並不等於寂寞，,,
412,2,宇涵的個性開朗，是個很健談的女孩，作為全職音樂人正在朝著自己的目標勇敢邁進，讓我對她很是佩服，在錄音的過程我們也聊得相當開心。,,
974,0,我每天用電腦了 12 小時，不斷工作，我什麼也不喜歡，甚至開始不再欣賞任何事情。,,
1162,2,我好麻煩、好像廢物喔⋯⋯,,
239,4,天下沒有白吃的午餐，想要有收穫就勢必要付出努力，雖然大多時候付出和努力不會成正比，這點確實會讓人失去動力和失望，但努力中的過程是自己得到的也算是收穫的一種吧。,,
1054,7,我早就已經死了，只是在等身體腐爛而已。,,
742,9,我很珍惜這一切，所以當他們都消失在我身邊時，我是非常難過的。,,
43,2,-,,
1140,2,總是透過哀居、類似的字詞發出求救訊號,,
831,0,在黑暗中，我們會遇到自己的憂鬱 那些無法控制的想法 那些無法釋放的感受 那些無法與外界的人交談的孤單 我不想活了,,
199,10,：請問妳是XXX的家人嗎？,,
707,2,也會想著，我只會帶給人麻煩，是家裡的累贅，是不是沒有我在旁邊才會比較好，因為我根本幫不上任何忙。,,
668,3,上禮拜換了威克倦之後，我整週的狀態都很不好，副作用遠大於作用；整天很無力，持續注意力很差、動機低落、一直感覺有地震等等的，雖然我可以看點書，但對我來說，不夠。,,
64,4,舊傷都還沒好 就有新的傷痕出現,,
1174,1,每天都不好，有的時候是不好一整天、有的時候是半天、有的時候看狀況。,,
435,12,當時的我身為黑奴覺得天生比人低賤，討厭自己的黑皮膚，黑、髒帶給我不快樂，每天工作後，我常常會用力清洗自己的雙手，彷彿也想把這些印記洗掉…,,
1157,3,現今已不是如此。,,
159,3,有兩條夾縫,,
871,1,我現在只是盡力過程中，因為我真的無法把內容提供出來了 😔. 這是因為我實際上沒有什麼內容要給大家 😂. 不過我想說我是因為自己的壓力和失望 . 這種情況下我會感到非常沮喪 . 有時候的確我會失去興趣 ‍,,
1030,14,一個人走了好久。,,
982,0,今天我想找個安靜的角落，閉上眼睛。,,
527,2,但當那個人回來，我就會被拋棄。,,
1146,1,我總是在無法前進的時候，感覺難過。,,
399,9,陽光灑落，卻帶著淡淡的哀愁，,,
833,0,"當你整天都沒有興趣，仍能過著日子，它是你最強的力量 "" 我們的支持不是「我想你好」。",,
759,0,謝謝這個世界，給了我很多的希望，和絕望……,,
1015,0,今天鬱期來了，毫不意外的失眠，並且非常想哭、非常想知道自己為什麼還活著。,,
1112,2,可是 怎麼還是這麼的痛苦,,
361,1,如果可以，我想和你回到那天相遇。,,
998,2,不想活了 這是我所在的黑暗世界，希望有人能夠找到我,,
532,2,我找到了讓自己快樂的方式。,,
391,23,我害怕變得快樂,,
159,22,他們不是別人,,
1005,14,想不開的不是他們，而是還在世間的我們。,,
984,0,我不想面對這個世界 我是被我自己的情緒綁綁住的，連自己都不想看到自己 但我知道我不是一個人，我有朋友、家人在等我,,
572,32,心也被摔碎,,
149,1,手上滿是刀疤,,
1189,0,好孤單、好想哭，可是我哭不出來⋯。,,
937,2,我們變得不再能享受生活，並且完全沒有興趣。,,
1056,3,我S的時候，背著每個人的名字。,,
169,0,對不起。,,
1117,5,我死了。,,
1017,11,請不要追問我原因,,
1113,1,也許只有我走了 才能更快樂吧。,,
1014,2,對我來說，活著一直都是一種不得不的妥協；因為還沒有死掉，所以才活著。,,
1052,4,坦白說，這樣的問句總是讓我非常受傷；是的，不只是受傷，而是非常受傷。,,
1012,11,然後一起出國，一起變老,,
890,3,我想一個人的生活還有什麼價值？,,
713,0,誰可以告訴我，活著的意義是什麼，我現在活著的每一分每一秒是為了什麼而活⋯,,
1146,3,今天吞止痛藥的時候，第二顆藥卡在喉嚨裡下不去，暖暖正在哭，我著急著吃藥，趕緊再配一口水喝，然後突然感覺噁心想吐，那一刻我感覺自己真的好可憐，好希望這個屋子裡也能有個人來照顧我。,,
810,0,我不是一個強者，我不值得活著，我沒有足夠的存在價值,,
1052,6,大多數人似乎沒有辦法理解「沒發生什麼事卻依然痛苦」，我也因此頻頻被他們的言語傷害；我不能理解他們，正如同他們不能理解我一樣。,,
585,11,-,,
1060,2,時常在餐廳看著幸福的家庭，充分感受到自己的多餘。,,
114,5,我之前有收到一些提問是關於死亡的，例如我會不會很常想自殺，答案是會。,,
1019,1,有時候和「救救我」,,
484,4,開心這件對一般人在微不足道的小事，對於我們而言，是一件令人感動的事。,,
1076,5,以前聽別人喊忙都覺得只是一種推卸責任的說法，可是現在的我甚至忙到需要隨時準備離開，因為我知道自己很可能會過勞猝死。,,
1085,5,真的好累 真的好想死 真的好想結束,,
52,6,然後我眼睜睜看著將軍吼的藝人下台跟大家握手，看得我頭皮發麻；還好麗寶我沒有看到太失控的場面（除了大家說他們早上六點就到了之外）。,,
1139,2,憂鬱症發作-好轉-發作-好轉,,
710,1,我為什麼只會給人添麻煩，我什麼事情都做不好、明明覺得努力了，還是比不上別人。,,
1045,1,走在寒冷寂寥的街頭，我說不出「新年快樂」，我不快樂，這個世界不快樂，豈能寄希望於新年呢。,,
399,14,夜晚的星光，閃爍著微弱的夢想，,,
749,1,不敢直接表達求救訊號的我,,
30,4,但也請不要在你「無知」「不了解」的狀況下來給我們貼上一堆有的沒的標籤,,
681,1,」,,
327,0,昨晚做了一個荒謬的夢,,
131,9,可是當被問到我所定義的美好是什麼？,,
114,6,因為掉進鬱期、那種心痛的感覺比手指被紙劃傷，比刺青，比打肌肉注射的針劑，比經痛，都還要痛很多，它不是忍一下就能結束的，但我會慢慢好，一點一點地，如果睡得著可能會好得更快些，但每次醒來，那種心揪在一起的感覺都還在，只是死結跟活結的差別而已。,,
203,1,我真的覺得我就說是白癡一枚，我也沒說錯嘛，都已經是很明顯的白癡了，為什麼你要不承認？,,
731,0,對不起有時候我忘記我也許不配擁有你們給予的溫柔。,,
29,2,蟑螂、天災、人禍更是在我的恐懼名單中名列前茅，簡單來說，我幾乎沒有什麼是不怕的。,,
89,8,不管是誰，有時候都好想重新選擇，但我知道我沒有選擇的權利。,,
719,6,我說不出來,,
894,3,我們所有的美好都被過度完美的期待所摧壞  我不再享受,,
1172,0,近兩週狀況都不太好、不穩定，我家人都說要轉念，但我實在是⋯轉不過去。,,
301,10,每次的結果基本上都會不太一樣，需要依照當天的心情來判斷。,,
269,1,當一個有故事，且聽別人故事的人。,,
347,11,說完掰掰，自己又會對自己覺得可惜。,,
869,2,我不想活了；我想,,
1063,10,我痛，但我活該。,,
1197,5,因為這只是我單方面的期待。,,
572,6,但沒有遠方,,
1109,5,我已不再是那個快樂的我,,
1055,1,你有沒有過那種，很悲傷很悲傷的時候，打開通訊軟體滑了一遍，卻還是默默關上，發現一個能找的人都沒有？,,
940,5,只感覺著無用、無目的。,,
732,3,但這一切對現在漫無目標的我來說太難了。,,
1047,1,我每天都在「人間不值得」與「他值得」之間反覆跳躍，一想到人生的痛苦爛事就覺得根本不想活著，但他那麼美好，要是我之前死掉了，就不會看見這樣的美好。,,
572,0,〈龜殼〉,,
732,8,太多的好想，我現在都做不到。,,
965,0,憂鬱的夜晚，我覺得我終於走不出去的通道了... 我無法控制自己的感受，無法做出什麼東西來改變自己... 天的日常生活都像一場無用而無趣的戰役...,,
863,3,我不想活了，我不想為這個世界做任何事情。,,
1194,1,如果我不會因為焦慮而渾身不對勁的話，是不是有些現在做不到的事我就有機會做到了？,,
1069,2,對不起，再多的愧疚還是無法讓我活下去。,,
58,4,我很好奇「焦慮」及「習慣」是如何被綁在一起的。,,
941,2,這種日子，我不想活了這種感覺,,
1193,3,我沒有想擺爛，我也想做好。,,
920,0,因為最近的學期開始，我突然發現自己已經完全失去興趣了 從以前的自己變成了只知道打開書包並點開電腦的機器，大家不停的都說我很有天分，但我只是覺得每天又是學習  到底為什麼我現在這樣,,
1203,0,即便是按常理來說要開心的事情也開心不起來了，依舊是滿滿罪惡感、無數次的自責。,,
391,0,〈我害怕變得快樂〉,,
299,0,/,,
1132,1,對不起我就是個累贅,,
905,0,我知道我不重要 完美主義使我陷入無限的挫折,,
84,10,「不是真的沒事，只是不想讓你知道有事。,,
838,0,當你每天都無所謂地走著，逐步變得像一名無目的的旅行者 當你在夢里想著什麼都無用  當你每天都感覺自己在步入黑夜,,
52,3,看到藝人在上面表演的確會讓人感到心情愉悅，但每次鏡頭帶到舞台下的人潮我就開始忍不住焦慮，除了我自己害怕人多之外，最近疫情又開始不太穩定，在這個暑假的尾聲大家都想要趁機撈最後一筆的時候，在醫院實習的我真的怕爆。,,
